id,colorCabello,colorOjos,estatura,colorPiel,cantIdiomas,deporteFav,estudiosAc,tomaMate,esArgentino
1,oscuro,oscuros,alto,claro,2,softball,hasta secundaria,si,si
2,oscuro,oscuros,alto,oscuro,3,badminton,universitario,si,no
3,claro,claros,mediano,claro,2,croquet,universitario,no,no
4,oscuro,claros,alto,claro,1,floorBall,hasta secundaria,si,si
5,oscuro,claros,alto,claro,1,ciclismo,universitario,no,no
6,claro,claros,mediano,claro,2,croquet,hasta secundaria,si,no
7,oscuro,claros,alto,oscuro,3,ciclismo,hasta primaria,si,no
8,oscuro,oscuros,bajo,oscuro,2,voleiball,universitario,no,no
9,claro,claros,mediano,claro,2,pingPong,hasta secundaria,no,no
10,oscuro,claros,bajo,claro,3,pingPong,universitario,no,no
11,claro,oscuros,mediano,oscuro,1,futbolAmericano,hasta secundaria,si,no
12,oscuro,claros,bajo,claro,1,softball,hasta primaria,no,no
13,claro,claros,alto,claro,1,basquetball,hasta primaria,no,no
14,claro,claros,alto,claro,3,tejo,universitario,si,no
15,claro,oscuros,alto,claro,1,atletismo,hasta primaria,no,no
16,claro,claros,alto,claro,1,squash,universitario,no,no
17,claro,claros,mediano,claro,3,billar,hasta secundaria,no,no
18,claro,oscuros,bajo,claro,2,baseball,universitario,no,no
19,oscuro,oscuros,mediano,claro,3,baseball,hasta secundaria,si,no
20,oscuro,claros,alto,claro,1,croquet,hasta primaria,si,no
21,oscuro,oscuros,alto,oscuro,1,softTenis,hasta secundaria,no,no
22,oscuro,claros,mediano,claro,1,billar,hasta secundaria,no,no
23,oscuro,claros,bajo,claro,2,basquetball,hasta primaria,no,no
24,oscuro,claros,alto,claro,2,voleiball,hasta secundaria,si,si
25,claro,oscuros,alto,claro,3,basquetball,hasta primaria,no,no
26,claro,claros,bajo,claro,3,paddle,hasta secundaria,no,no
27,claro,claros,alto,claro,2,pingPong,hasta primaria,si,no
28,claro,claros,alto,claro,2,croquet,hasta primaria,si,no
29,oscuro,oscuros,alto,claro,2,atletismo,hasta primaria,no,no
30,oscuro,claros,bajo,oscuro,3,futbolAmericano,universitario,si,no
